id,id-str,version,model-description-short,model-description-long,dataset,dataset-size,dataset-augmented,train-epochs,accuracy-validation,accuracy-test,accuracy-live,loss-validation,inference-time,peak-RAM-usage,flash-usage,validation-F1-background,validation-F1-capacitor,validation-F1-led,validation-F1-resistor,test-F1-background,test-F1-capacitor,test-F1-led,test-F1-resistor
0,dnn-non-augmented,v1.0.1,dnn-base,"2 layers, 64 neuron each",base,50,no,200,90.600,82.500,,0.270,8.00,2.50,71.80,1.00,0.80,0.89,1.00,1.00,0.81,0.55,0.91
1,dnn-augmented,v1.0.3,dnn-base,"2 layers, 64 neuron each",augmented-transl-rot,2000,yes,200,89.700,84.550,,0.350,8.00,2.50,71.80,1.00,0.86,0.80,0.93,1.00,0.84,0.78,0.93
2,dnn-augmented,,dnn-base,"2 layers, 64 neuron each",augmented-transl-larger,4000,yes,100,79.500,67.540,,0.530,8.00,0.25,72.00,1.00,0.77,0.50,0.85,0.99,0.61,0.38,0.88
3,dnn-augmented-extra-neurons,v1.0.4,dnn-2x-neuron,"2 layers, 128 neuron each",augmented-transl-rot,2000,yes,200,93.600,92.460,73.333,0.160,17.00,2.50,133.50,1.00,0.89,0.88,0.97,1.00,0.89,0.90,0.97
4,dnn-augmented-extra-neurons,v1.0.5,dnn-2x-neuron,"2 layers, 128 neuron each",augmented-transl-larger,4000,yes,100,95.100,93.270,75.833,0.170,17.00,2.50,133.50,1.00,0.92,0.90,0.98,1.00,0.88,0.93,0.99
5,dnn-augmented-extra-layer,,dnn-extra-layer,"3 layers, 64 neuron each",augmented-transl-rot,2000,yes,200,88.100,76.760,,0.340,9.00,2.80,76.20,1.00,0.84,0.77,0.91,1.00,0.77,0.66,0.90
6,dnn-augmented-extra-layer,,dnn-extra-layer,"3 layers, 64 neuron each",augmented-transl-larger,4000,yes,100,73.600,61.420,,0.610,9.00,2.80,76.40,0.97,0.72,0.40,0.76,0.98,0.58,0.18,0.80
7,cnn-not-augmented,,cnn-base,"2D conv/pool layer (32 filters, kernel size 3, 1 layer), 2D conv/pool layer (16 filters, kernel size 3, 1 layer), ",base,50,no,200,87.500,87.800,,0.240,162.00,34.50,40.90,1.00,0.83,0.71,1.00,1.00,0.86,0.77,0.95
8,cnn-not-augmented-larger-kernel-size,,cnn-larger-kernel,"2D conv/pool layer (32 filters, kernel size 5, 1 layer), 2D conv/pool layer (16 filters, kernel size 5, 1 layer), ",base,50,no,200,93.800,87.800,,0.150,449.00,36.60,49.40,1.00,0.91,0.88,1.00,1.00,0.80,0.75,0.95
9,cnn-not-augmented-extra-layer,,cnn-larger-kernel-extra-layer,"2D conv/pool layer (32 filters, kernel size 5, 1 layer), 2D conv/pool layer (16 filters, kernel size 5, 1 layer), 2D conv/pool layer (8 filters, kernel size 5, 1 layer)",base,50,no,200,93.800,92.680,,0.120,471.00,38.80,50.40,1.00,0.92,0.86,1.00,1.00,0.91,0.86,0.95
10,cnn-not-augmented-extra-filters,,cnn-2x-filters,"2D conv/pool layer (64 filters, kernel size 3, 1 layer), 2D conv/pool layer (32 filters, kernel size 3, 1 layer), ",base,50,no,200,87.500,90.240,,0.180,582.00,66.70,58.60,1.00,0.82,0.75,1.00,1.00,0.86,0.86,0.95
11,cnn-augmented,v2.0.1,cnn-base,"2D conv/pool layer (32 filters, kernel size 3, 1 layer), 2D conv/pool layer (16 filters, kernel size 3, 1 layer), ",augmented-transl-rot,2000,yes,50,98.900,97.460,85.000,0.050,162.00,34.50,40.90,1.00,0.98,0.98,0.99,1.00,0.97,0.97,0.99
12,cnn-augmented,v2.0.2,cnn-base,"2D conv/pool layer (32 filters, kernel size 3, 1 layer), 2D conv/pool layer (16 filters, kernel size 3, 1 layer), ",augmented-transl-larger,4000,yes,50,99.800,99.710,96.667,0.010,162.00,34.50,40.90,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
